name,url,description,address,latitude,longitude,ticketed_events,fully_booked
The Library at Willesden Green,https://openhouselondon.open-city.org.uk/listings/6420,A modern 4-storey building incorporating the much-loved Victorian library. The galleries and feature walls display exhibitions and contemporary art and a dramatic central atrium provides natural ventilation and daylight throughout.,"95 High Road, NW10 2SF",51.5469042,-0.2290558,True,False
National Youth Theatre,https://openhouselondon.open-city.org.uk/listings/9812,"Completed in Summer 2021, the National Youth Theatre has been redeveloped to double its capacity for studio space and was designed with young people, for young people. Recipient of the Mayor of London's Good Growth Fund.","443-445 Holloway Road, N7 6LW",51.5591868,-0.1224606,True,Unknown
Kingston Edible Forest 2100,https://openhouselondon.open-city.org.uk/listings/10013,A mixed orchard of mostly perennial fruit and vegetables in a natural style to create a woodland and a delightful oasis.,"Southern end of Knollmead Allotments, Knollmead, Tolworth, KT5 9QP",51.3787423,-0.2737056,False,False
The Ismaili Centre,https://openhouselondon.open-city.org.uk/listings/2063,"Part of an international family of Ismaili Centres, a religious, cultural and social space for the Shia Ismaili Muslim community. The serenity of the entrance fountain to the roof garden reflects Muslim traditions in architecture and design","1-7 Cromwell Gardens, SW7 2SL",51.4956616,-0.1732322,False,False
Museum of Neoliberalism,https://openhouselondon.open-city.org.uk/listings/8739,"The museum is situated in a shopfront in Leegate Shopping Centre, which has been described by the Evening Standard as ""the worst shopping precinct in the country.""","16 Eltham Road, SE12 8TF",51.4560516,0.0122701,True,Unknown
Holyrood Kiosk and Garden,https://openhouselondon.open-city.org.uk/listings/10296,"Join Sanchez Benton at no. 7 Holyrood St Kiosk and vertical garden, a project aiming to catalyse the sustainable growth of public and festive activity on the street, allowing it to become a key component of the wider Low Line project.","7 Holyrood Street, SE1 4EL",51.5036,-0.082542,False,False
Trafalgar Tavern,https://openhouselondon.open-city.org.uk/listings/9249,"A grand riverside Victorian pub, named after Horatio Nelson's victory at the Battle of Trafalgar. Featuring hundreds of original paintings on the walls.","Park Row, Greenwich, SE10 9NW",51.4845712,-0.0042335,False,False
East End Women's Museum - making a museum (online talk),https://openhouselondon.open-city.org.uk/listings/8354,"East End Women's Museum is set to open in Barking in 2022, to record, share and celebrate the stories of east London women. Join the museum team and architects, Manalo & White, in this online event to  hear more about their exciting plans.","Online, Online, E13 9PJ",51.5299567,0.036636,False,False
Reliance Arcade,https://openhouselondon.open-city.org.uk/listings/9043,"Reliance Arcade is a Grade II Listed covered market in Brixton, London.  The Arcade was constructed in the 1920s and is home to 40 small retail units catering largely to local African-Caribbean communities.","455 Brixton Rd, SW9 8JP",51.462185,-0.1131814,False,False
The City Centre,https://openhouselondon.open-city.org.uk/listings/2653,An overview of the latest developments and architecture in the City of London via the interactive 1:500 scale Pipers model that shows the future skyline with all of the proposed new towers.,"City Centre, within Guildhall Complex (entrance at 80 Basinghall Street, leading from Gresham Street), EC2V 5AR",51.5153573,-0.0913978,False,False
Bethlem Royal Hospital,https://openhouselondon.open-city.org.uk/listings/3521,"Last surviving psychiatric hospital built in England according to the villa system. Walk takes in Hospital Chapel, Walled Garden used in occupational therapy, and former Admin Building, repurposed as Bethlem Museum and Bethlem Gallery.","Monks Orchard Road, Beckenham, BR3 3BX",51.3777815,-0.0292284,True,Unknown
"The Standard, London",https://openhouselondon.open-city.org.uk/listings/9211,"This ambitious transformation of the former Camden Town Hall Annexe, a 1974 Brutalist structure, into a landmark hotel was achieved through the restoration of the original concrete façade and the addition of three striking storeys.","10 Argyle St, WC1H 8EG",51.5294123,-0.1241809,False,False
Alderman Jones House,https://openhouselondon.open-city.org.uk/listings/8952,Becontree Estate two storey cottage house with garden located on a banjo.,"322 Parsloes Avenue, Dagenham, RM9 5QL",51.5499898,0.1326619,True,False
Peveril Gardens and Studios,https://openhouselondon.open-city.org.uk/listings/9816,"A garden atop a former parking structure at the base of Peveril House. It sits on top of artists studios, also refurbished using minimal interventions by architects Sanchez Benton. Shortlisted for the Open City Stewardship Awards 2021.","Forma HQ, Peveril Garden Studios,, 140 Great Dover St, SE1 4GW",51.4952748,-0.0863057,False,False
Enfield To Fork - Edmonton Green Shopping Centre,https://openhouselondon.open-city.org.uk/listings/10236,"The Museum of Enfield is this year bringing its temporary exhibition to you! “From Enfield to Fork” explores the borough’s history and relationship with food, from Roman Enfield to Market Gardening.","62 Smythe Close, N9 0TZ",51.6241568,-0.0578985,True,False
Maggie's Barts,https://openhouselondon.open-city.org.uk/listings/6604,"Maggie's Barts opened in December 2017. Maggie's Centres are unique, welcoming and uplifting places with qualified staff on hand to provide free practical, emotional and social support for people with cancer, their families and friends.","St Bartholomew's Hospital, EC1A 7BE",51.517496,-0.1000463,True,Unknown
Yorkton Workshops,https://openhouselondon.open-city.org.uk/listings/9012,"Pearson Lloyd have transformed a series of dilapidated workshop buildings into a new home for the studio. Original features have been retained and, wherever possible, the building’s constituent materials have been reused and recycled.","Yorkton Workshops, 1-3 Yorkton Street, E2 8NH",51.5314526,-0.0689075,False,False
German Historical Institute,https://openhouselondon.open-city.org.uk/listings/6371,"This Grade II* listed building includes an Adam-style ceiling on the 1st floor and a beautiful staircase with wrought-iron balustrade. Once home to the Pharmaceutical Society of Great Britain, it now houses an historical research institute.","17 Bloomsbury Square, WC1A 2NJ",51.5189044,-0.1239694,False,False
Ripple Greenway and the Lost Words Art Trail,https://openhouselondon.open-city.org.uk/listings/10191,"Ripple Greenway is a beautiful 14-acre linear park and art trail.  Home to Katy Hallett’s steel sculptures, inspired by Robert Macfarlane’s and Jackie Morris’ The Lost Words.
Wooden play and exercise equipment, picnic tables and benches.","Ripple Greenway, Bastable Avenue, IG11 0LG",51.5279424,0.1038885,True,False
Studio Flox,https://openhouselondon.open-city.org.uk/listings/10281,"Studio Flox at Watermans Art Centre is a combined arts centre. It is located in Brentford, England alongside the banks of the River Thames overlooking Kew Gardens in West London, England","WATERMANS PARK, 40A, HIGH STREET, BRENTFORD, TW8 0BB",51.4856009,-0.2987655,False,False
Guildhall Art Gallery,https://openhouselondon.open-city.org.uk/listings/1405,"Houses the City of London's art collection, built over remains of London's 2C Roman amphitheatre. Façade uses Portland stone and Collyweston stone slates. Interior uses finishes of marble, American elm, damask and painted wall coverings.","Guildhall Yard, EC2V 5AE",51.5152757,-0.0919056,True,Unknown
The Old Finsbury Town Hall ,https://openhouselondon.open-city.org.uk/listings/375,"Opened by Lord Rosebery, an ornate building with elegant decor influenced by the Art Nouveau movement. Several notable rooms including the Great Hall with unique stained glass, antique mirrors and Clerkenwell Angel statuettes.","Rosebery Avenue, EC1R 4RP",51.5257219,-0.1100225,False,False
