name,url,description,address,latitude,longitude,start_time,end_time,ticketed_events,fully_booked
"""Chinese"" Garage",https://programme.openhouse.org.uk/listings/11337,A Grade II listed motor garage and petrol station built in the style of a Japanese pagoda in 1928. Now a Tesco Express.,"Chinese Garage, Stone Park Avenue, BR3 3FE",51.3988696,-0.0188405,07:00:00,20:00:00,No,
Altab Ali Park,https://programme.openhouse.org.uk/listings/11340,"Altab Ali Park was renamed in 1998 after a murdered 25-year-old Bangladeshi Sylheti clothing worker. Formerly known as St. Mary's Park, it is the site of the old 14 C white church, St. Mary Matfelon which gave Whitechapel its name.","Alder Street,, E1 1FD",51.51538,-0.0672139,07:00:00,23:00:00,No,
Andaz London Liverpool Street,https://programme.openhouse.org.uk/listings/11391,"A concept by Hyatt, Andaz London exuberates history since the 1200's veiled by the new-age decor and a buzzing London neighborhood. 

Step in and explore, as Ryan takes you around for an open house!","Andaz London, 40 Liverpool Street, EC2M 7QN",51.517312,-0.0813472,17:30:00,18:30:00,Yes,No
Battersea Exchange,https://programme.openhouse.org.uk/listings/11077,"Battersea Exchange creates 290 new homes, 21% of which are affordable, a new two-form entry primary school and around 4000 sqm of commercial space for shops, offices and restaurants, as well as a new entrance to Queenstown Road Station.","177 Battersea Park Rd, Nine Elms, SW8 4LR",51.4763652,-0.1479433,18:30:00,20:00:00,Yes,No
Fish Island Village,https://programme.openhouse.org.uk/listings/10907,"Fish Island Village is a major new live-work neighbourhood in east London - a mid-rise development comprising 588 mixed tenure dwellings with 5,522m² commercial space delivered by The Trampery as a campus for sustainable fashion businesses.","Wyke Road, Fish Island, E3 2NU",51.5405492,-0.022255,18:30:00,19:45:00,Yes,No
Fore Street Art Trail,https://programme.openhouse.org.uk/listings/11138,Enjoy a self guided walking tour of Fore Street to see a wide range of public art including murals and sculptures.,"Fore Street, Angel Edmonton, Enfield, N18 2UE",51.6157822,-0.0642022,07:00:00,23:45:00,No,
Hyde Park Chapel,https://programme.openhouse.org.uk/listings/9987,The four-story Church façade and prominent seven-story tower is covered in Portland stone and highlighted by a golden steeple. The interior features the Christus statue and a large mural of the resurrected Jesus Christ.,"64-68 Princes Gate, Exhibition Road, SW7 2PA",51.497811,-0.1734449,10:00:00,20:00:00,No,
New Ground (online only),https://programme.openhouse.org.uk/listings/30,"25 homes designed with the Older Women’s Co-Housing group using PTE’s ‘fabric first’ approach which maximises the benefits of orientation, air-tightness, insulation and following the co-housing model. www.youtube.com/watch?v=9q25nbEl8rg","5b Union Street, Chipping Barnet, Barnet",51.6542151,-0.202757,07:00:00,23:00:00,Yes,No
Nunhead Cemetery,https://programme.openhouse.org.uk/listings/1237,"Magnificent Victorian cemetery with Gothic chapel & restored & ruined lodge. One of London's wildest cemeteries. Part restored with the help of a lottery grant. 52 acres of woodland, with bats, owls, foxes & squirrels. Grade II*  landscape.","Linden Grove, Nunhead, SE15 3LP",51.4651848,-0.0519675,08:30:00,19:00:00,No,
Pushkin House,https://programme.openhouse.org.uk/listings/4108,The independent cultural centre Pushkin House will contribute to this year's Open House Festival through a programme of events and community initiatives at its Grade-II listed building in Bloomsbury Square.,"5a Bloomsbury Square, WC1A 2TA",51.5182912,-0.1230772,09:00:00,21:00:00,No,
Royal Routes cycling tour,https://programme.openhouse.org.uk/listings/11350,"Cycling tour offering a sensory, healing and educational experience covering the key open spaces within the Royal Docks. Focusing on greenery, landscapes, waterscapes and other local amenities. For competent cyclists only.",Outside Sunborn Yacht hotel Royal Victoria Dock,51.5077767,0.0300599,17:00:00,19:00:00,Yes,No
Site Report Book Launch at Flat Time House,https://programme.openhouse.org.uk/listings/10014,"Theatrum Mundi invites you to the launch of a new book - Site Report by Glasgow-based artist and poet Rhona Warwick Paterson. The book will launch with an event at Flat Time House, former home studio of conceptual artist John Latham.","210 Bellenden Rd, SE15 4BW",51.466088,-0.0741282,18:30:00,20:30:00,Yes,No
Stratford Unitarian Church and Gallery,https://programme.openhouse.org.uk/listings/11321,"Commissioned as a church this mutable space lends itself to many uses, most recently a gallery. This high windowed  light flooded space with its uniquely shaped  high ceiling,  white walls and wooden floors make an perfect gallery.","Stratford Unitarian Church, West Ham Lane",51.5396381,0.0038121,16:00:00,19:00:00,No,
The Foundry,https://programme.openhouse.org.uk/listings/11069,"Tucked behind a busy road in W12, this former foundry is a multi-level development featuring an architects’ studio with courtyards and spaces for exhibitions and musical performances. The  building's 15m brick chimney is a local landmark.","The Foundry, 1 Adelaide Grove, W12 0JU",51.5067505,-0.2373949,16:00:00,19:00:00,No,
The Post Building,https://programme.openhouse.org.uk/listings/8631,"London is known for its rooftops. The Roof Garden at The Post Building has been designed as a one-off location for enjoyment, work and wellness looking out over some of its most memorable.

Open to the public 7 days a week!","100 Museum Street, Holborn, WC1A 1PB",51.5166049,-0.1244562,10:00:00,19:00:00,No,
