name,url,description,address,latitude,longitude,start_time,end_time,ticketed_events,fully_booked
Albany Park River Restoration Self-guided Tour,https://openhouselondon.open-city.org.uk/listings/10256,Self-guided tour around a recently completed river restoration and wetlands project in Albany Park,"Albany Park, Albany Road, Enfield, EN3 5PA",51.6669242,-0.0329622,,,No,True
Aldgate Square,https://openhouselondon.open-city.org.uk/listings/8351,Publicly accessible landscaped Square featuring a pavilion with an asymmetrical steel structure and sliding glass walls set between three triangular support points. Also a stunning contemporary outdoor artwork from Sculpture in the City.,"Aldgate High Street, EC3N 1AF",51.5135989,-0.0766465,,,No,True
BCA Barnes Trail - self-guided walk,https://openhouselondon.open-city.org.uk/listings/10071,This is a self-guided 2.3 mile circular trail - with a 3 mile extension - and has been designed to show Barnes at its best - just follow the silver 'Barnes Trail' discs in the ground. The oar signs en route tell you what to look for.,"70 Barnes High Street, Barnes, SW13 9LD",51.4735495,-0.2480417,,,No,True
Barons Court and West Kensington self guided walk,https://openhouselondon.open-city.org.uk/listings/10301,"This walk compiled by Fulham Society experts covers an area developed around the turn of the nineteenth/twentieth centuries and colonised for an eclectic mix of artistic people, commercial uses and a little known cemetery.","Palliser Road, Hammermsith, W14 9EA",51.4896451,-0.2127536,,,No,True
Brasted Close,https://openhouselondon.open-city.org.uk/listings/10384,"This project for 11 homes is the result of a campaign by local people to build affordable homes on surplus council-owned land, and will be among the first CLT homes completed in London. Shortlisted for the Open City Stewardship Awards 2021.","Republic, Import Building, E14 2BE",51.5100583,-0.0051144,,,No,True
C20 x Open House Festival Self-Guided tour – Buildings at Risk,https://openhouselondon.open-city.org.uk/listings/10434,"As an introduction to our work, we invite you to visit some of our recent Buildings at Risk. This is a small selection of examples in London, that can be visited from the outside and that are walking distance from each other.","458 Oxford Street, W1C 1AP",51.5141461,-0.1543448,,,No,True
Covent Garden Market,https://openhouselondon.open-city.org.uk/listings/10385,"This iconic London destination has been managed for the past 15 years by Capital and Counties with a hands-on approach, and operational support from Incentive FM. Shortlisted for the Open City Stewardship Awards 2021.","Covent Garden Market, WC2E 7QH",51.5119958,-0.1228517,,,No,True
Guildhall Yard,https://openhouselondon.open-city.org.uk/listings/6751,"Publicly accessible space outside the spectacular Grade I listed medieval civic Guildhall. Located above the remains of London's Roman amphitheatre, the outline of the arena is marked out by black paving stones within the Yard itself.","Guildhall Yard, EC2V 7HH",51.5152512,-0.0921379,,,No,True
Liverpool Everyman Theatre,https://openhouselondon.open-city.org.uk/listings/10387,"A Stirling Prize-winning project from masters of theatre design, Haworth Tompkins, which is now a key example in their internal post-occupancy led learning, developing future practice. Shortlisted for the Open City Stewardship Awards 2021.","5-11 Hope Street, Liverpool, L1 9BH",53.4029576,-2.969269,,,No,True
Luxmore Gardens,https://openhouselondon.open-city.org.uk/listings/9040,Self-guided walk. Enter Luxmore Gardens via Luxmore St (off Malpas Rd) or one of the two alleyways on Rokeby Rd. Stroll through the park and link up with the Brockley Mews walks or walk to Hilly Fields to begin the 3 Peaks Circular walk.,"Luxmore Street, SE4 1BS",51.4713306,-0.0316965,,,No,True
