name,url,description,address,latitude,longitude,start_time,end_time,ticketed_events,fully_booked
"#Merky FC HQ, Croydon",https://programme.openhouse.org.uk/listings/12708,"KSS were part of the team responsible for the design and delivery of the new building at Selhurst Sports Arena, Croydon the new headquarters of MERKY FC.
 
The new building, more than just a football centre, is a community hub, providing a safe space for the community to come together and is operated by the charity Communities First Foundation on behalf of adidas.  https://merkyfchq.com/","Dagnall Park, SE25 5PH",51.39178,-0.08964,11:00:00,14:45:00,Yes,No
1 Goodwins Court: 10 year Georgian restoration,https://programme.openhouse.org.uk/listings/12592,"Built between 1690-1720, No. 1 Goodwins Court celebrates 300 years of existence with the completion of its painstaking 10-year restoration. Part of a row of Grade II* Listed buildings within Covent Garden’s Conservation Area, it is a rare survivor of a building type reflecting the conditions of London's Georgian working classes. Goodwins Court was the inspiration for Harry Potter's Diagon Alley.","1 Goodwins Court, WC2N 4LL",51.5109,-0.12632,10:00:00,17:00:00,Yes,Yes
1.20 Oxo Tower Wharf,https://programme.openhouse.org.uk/listings/8766,"Unit 1.20 is one of 25 workshop and retail units in Oxo Tower Wharf and overlooks the courtyard towards the Bargehouse building from the first floor walkway. It is a multi-purpose space used as a workshop, showroom and teaching space.","Unit 1.20, The Courtyard, Oxo Tower Wharf, SE1 9PH",51.50846,-0.10827,13:00:00,17:00:00,Yes,Yes
10 Downing Street,https://programme.openhouse.org.uk/listings/2738,10 Downing Street has been the residence of British Prime Ministers since 1735. Behind its famous black door the most important decisions affecting Britain for the last 284 years have been taken.,"10 Downing Street, SW1A 2AA",51.503541,-0.1276699,11:30:00,15:30:00,Yes,No
12 Church Grove,https://programme.openhouse.org.uk/listings/10389,"The first residents have moved into the capital’s biggest community-led self-build project, coordinated by the Rural Urban Synthesis Society (RUSS): 36 flats in two linked buildings, a new public riverside garden and shared community spaces. As a Community Land Trust, RUSS aims to create sustainable and permanently affordable homes in a community woven into the wider communities of Lewisham.","12 Church Grove, SE13 7UU",51.4573883,-0.0171736,10:00:00,16:00:00,Yes,No
13 Princelet Street with The Landmark Trust,https://programme.openhouse.org.uk/listings/12560,"The Landmark Trust is a national building conservation charity that restores historic properties at risk and turns them into accommodation for unique short breaks. 
Join us at 13 Princelet Street for this rare public opening to explore the building and find out more about the Landmark Trust. Information about the building will be available with our friendly and knowledgeable staff on hand.","13 Princelet Street, E1 6QH",51.51986,-0.07275,10:00:00,16:00:00,Yes,No
245 Hammersmith Road,https://programme.openhouse.org.uk/listings/8955,"245 Hammersmith Road is a destination for working and connecting, with flexible office, retail, and public spaces combining to redefine the Business Improvement District.","245 Hammersmith Road , Hammersmith , W6 8PW",51.49305,-0.22163,10:00:00,13:40:00,Yes,Yes
25 Cannon Street,https://programme.openhouse.org.uk/listings/11339,"Situated adjacent to St. Paul’s Cathedral, our reworking of this six-storey neo-classical building has created 116,000 sq ft of high-quality office space, three levels of communal terraces and a large new garden designed by Tom Stuart-Smith","25 Cannon Street, EC4M 5TA",51.5130649,-0.0953226,10:00:00,15:30:00,No,
33 Buchanan Gardens,https://programme.openhouse.org.uk/listings/11892,A characterful residential family home. The architecture and design was created in collaboration with Studio 1 Architecture/Studio Fuse (practice has featured on Grand Designs) and Designer Decoresidence whose founder resides in the property.,"33 Buchanan Gardens, NW10 5AD",51.5341549,-0.2277966,10:00:00,13:00:00,No,
41-43 Standard Road,https://programme.openhouse.org.uk/listings/12915,"POW is a not-for-profit open access workshop in Park Royal, which provides easy and affordable access to a fully equipped workshop, that you can book by the day or for as long as you need.
Our workshop includes over 50 professional tools and tech, from woodworking tools and machinery, digital fabrication equipment and a fully extracted spray room.","41-43 Standard Road, NW10 6HF",51.52775,-0.26438,10:00:00,18:00:00,No,
44 Monsell Road,https://programme.openhouse.org.uk/listings/12728,"44 is a reconfiguration and extension of a charming and peculiar Victorian house. The original building was an opportunistic infill in the garden of an adjacent home, sitting alone behind two terraced streets. The architect and home owner saw the potential to expand the modest building, creating a pocket home which keeps their growing family in the community they have called home for 15 years.","44 Monsell Road, N4 2EJ",51.56033,-0.1039,10:00:00,18:00:00,No,
"80 Mallard Place, Twickenham",https://programme.openhouse.org.uk/listings/11885,This is a beautiful house in Eric Lyons' last SPAN development from 1982,"80 Mallard Place, Twickenham, TW1 4SR",51.4359876,-0.3291416,12:00:00,18:00:00,No,
84 Ormeley Road,https://programme.openhouse.org.uk/listings/12517,AN ARCHITECT'S VICTORIAN  HOME REMODEL... WITH AN ITALIAN ACCENT,"84 Ormeley Road, Balham, SW12 9QG",51.44516,-0.14625,10:30:00,17:00:00,No,
8a Belsize Court Garages,https://programme.openhouse.org.uk/listings/5794,"Originally a late 19C coachman's living quarters and stable, this mews house combines an award-winning architects' studio and a spacious light-filled maisonette after a 2-phase carbon-reducing retrofit.","8a Belsize Court Garages, NW3 5AJ",51.5500659,-0.1709004,10:30:00,13:00:00,No,
A Ruskinian Walk Through Shared Heritage,https://programme.openhouse.org.uk/listings/4686,"Ruskinian walk from RIBA award-winning Chiswick Business Park, Gunnersbury Triangle Nature Reserve through South Acton Estate, birthplace of artist Patrick Caulfield; Woodlands Park Ice House; to home of William Willett, initiator of Daylight Saving Time","Building 3, Chiswick Business Park, 566 Chiswick High Road, W4 5YA",51.49472,-0.27661,12:00:00,14:00:00,Yes,No
